       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193893          17.16313902        -154.43944722        -137.27630821
    2400          59.52572194          18.98553111        -156.33952786        -137.35399675
    2500          58.92686577          18.79452793        -156.03041538        -137.23588745
    2600          61.65941057          19.66606401        -156.94491183        -137.27884783
    2700          58.81987820          18.76040460        -156.07031131        -137.30990671
    2800          53.15475447          16.95353222        -154.26693033        -137.31339812
    2900          54.95193330          17.52673643        -154.82877257        -137.30203614
    3000          55.99963636          17.86089784        -155.23428976        -137.37339192
    3100          56.97370036          18.17157231        -155.46230005        -137.29072773
    3200          54.82661005          17.48676499        -154.82426012        -137.33749513
    3300          58.17829093          18.55577247        -155.99088350        -137.43511103
    3400          57.28774618          18.27173618        -155.64133286        -137.36959668
    3500          55.43540569          17.68093834        -155.09610795        -137.41516960
    3600          55.08699927          17.56981527        -155.00137965        -137.43156438
    3700          56.84787163          18.13143966        -155.56336368        -137.43192402
    3800          51.62426635          16.46538812        -153.98195277        -137.51656465
    3900          52.18932273          16.64561097        -154.10757687        -137.46196589
    4000          52.04622239          16.59996960        -153.99293636        -137.39296677
    4100          56.74477886          18.09855856        -155.56944332        -137.47088476
    4200          51.99350579          16.58315581        -154.04127325        -137.45811744
    4300          51.52299230          16.43308710        -153.89546175        -137.46237465
    4400          53.07013956          16.92654457        -154.36604513        -137.43950056
    4500          55.29738122          17.63691590        -155.00598230        -137.36906640
    4600          50.50439184          16.10820787        -153.47322945        -137.36502158
    4700          54.77922983          17.47165323        -154.81317092        -137.34151769
    4800          51.50392301          16.42700501        -153.87062083        -137.44361582
    4900          44.26120185          14.11696318        -151.46891264        -137.35194947
    5000          52.38862569          16.70917799        -154.10653595        -137.39735796
    5100          51.92606530          16.56164589        -153.92765915        -137.36601326
    5200          49.66214626          15.83957644        -153.20857546        -137.36899902
    5300          52.82683842          16.84894448        -154.21456491        -137.36562043
    5400          53.00400338          16.90545066        -154.26720506        -137.36175441
    5500          50.41135021          16.07853255        -153.42793952        -137.34940697
    5600          50.53708479          16.11863518        -153.46516060        -137.34652542
    5700          52.49487834          16.74306692        -154.12869957        -137.38563265
    5800          57.65991359          18.39043774        -155.81891791        -137.42848017
    5900          53.07621271          16.92848158        -154.37268643        -137.44420484
    6000          46.93895659          14.97102415        -152.33981809        -137.36879395
    6100          56.08501350          17.88812859        -155.26931444        -137.38118585
    6200          52.18017333          16.64269280        -154.08260782        -137.43991502
    6300          50.21880499          16.01712089        -153.44072560        -137.42360471
    6400          52.05098626          16.60148902        -154.05262651        -137.45113750
    6500          50.79200690          16.19994173        -153.63191173        -137.43196999
    6600          52.93225698          16.88256738        -154.31418800        -137.43162061
    6700          54.35891237          17.33759438        -154.76249440        -137.42490003
    6800          54.82788391          17.48717129        -154.88429567        -137.39712438
    6900          49.27872567          15.71728572        -153.14902542        -137.43173970
    7000          55.65718426          17.75167388        -155.19538361        -137.44370973
    7100          50.57130730          16.12955033        -153.59978292        -137.47023259
    7200          52.47240593          16.73589942        -154.20273273        -137.46683331
    7300          49.52865371          15.79699944        -153.25942232        -137.46242289
    7400          57.68873204          18.39962929        -155.84752130        -137.44789201
    7500          50.56880821          16.12875326        -153.48988236        -137.36112911
    7600          50.07451405          15.97109978        -153.33959309        -137.36849332
    7700          51.38917451          16.39040636        -153.78281208        -137.39240572
    7800          52.22462658          16.65687102        -154.03391013        -137.37703911
    7900          51.51749522          16.43133382        -153.81755026        -137.38621643
    8000          55.13952647          17.58656865        -154.99946711        -137.41289846
    8100          54.49898440          17.38226988        -154.82318018        -137.44091029
    8200          54.42919356          17.36001033        -154.81324549        -137.45323516
    8300          51.39937479          16.39365971        -153.80631529        -137.41265558
    8400          54.05282450          17.23996867        -154.70758992        -137.46762126
    8500          54.55140753          17.39899007        -154.88260353        -137.48361346
    8600          54.28615869          17.31438983        -154.75540486        -137.44101503
    8700          46.44488423          14.81344141        -152.26534859        -137.45190718
    8800          55.01055859          17.54543477        -154.96243730        -137.41700253
    8900          54.76841867          17.46820505        -154.90145591        -137.43325086
    9000          53.97783883          17.21605224        -154.71594006        -137.49988783
    9100          52.17343004          16.64054205        -154.01851006        -137.37796801
    9200          54.87064345          17.50080930        -154.88695129        -137.38614198
